date,temperature,humidity,luminosity,pressure
2022-11-17 15:40:06.844,26.5,39.1,309,1014.2
2022-11-17 15:40:01.800,26.5,39.6,305,1014.2
2022-11-17 15:39:56.757,26.5,38.5,336,1014.2
2022-11-17 15:39:51.713,26.5,36.7,450,1014.2
2022-11-17 15:39:46.669,26.3,35.1,46,1014.2
2022-11-17 15:39:41.625,26.4,35.2,444,1014.2
2022-11-17 15:39:36.583,26.3,31.8,389,1014.3
2022-11-17 15:39:31.539,26.3,31.7,497,1014.2
2022-11-17 15:39:26.496,26.3,31.7,199,1014.2
2022-11-17 15:39:21.453,26.3,31.7,199,1014.2
2022-11-17 15:39:16.410,26.3,31.7,198,1014.2
2022-11-17 15:39:11.367,26.4,31.7,199,1014.2
2022-11-17 15:37:37.989,26.2,31.9,172,1014.1
2022-11-17 15:37:32.946,26.2,31.9,172,1014.2
2022-11-17 15:37:27.903,26.2,31.9,186,1014.2
2022-11-17 15:37:22.860,26.2,32.0,186,1014.2
2022-11-17 15:37:17.817,26.2,32.0,182,1014.2
2022-11-17 15:37:12.772,26.2,31.9,185,1014.1
2022-11-17 15:37:07.729,26.2,32.0,184,1014.2
2022-11-17 15:37:02.685,26.2,31.9,185,1014.1
2022-11-17 15:36:57.642,26.2,32.0,185,1014.2
2022-11-17 15:36:52.598,26.2,32.1,186,1014.2
2022-11-17 15:36:47.555,26.1,32.3,186,1014.2
2022-11-17 15:36:42.513,26.2,32.4,186,1014.2
2022-11-17 15:36:37.469,26.2,32.4,186,1014.1
2022-11-17 15:36:32.424,26.1,32.2,186,1014.1
2022-11-17 15:36:27.381,26.1,32.0,178,1014.1
2022-11-17 15:36:22.337,26.1,32.0,178,1014.1
2022-11-17 15:36:17.293,26.2,32.0,179,1014.1
2022-11-17 15:36:12.250,26.2,32.2,180,1014.2
2022-11-17 15:36:07.206,26.1,32.3,179,1014.1
2022-11-17 15:36:02.163,26.2,32.4,179,1014.1
2022-11-17 15:35:57.120,26.2,32.3,181,1014.1
2022-11-17 15:35:52.076,26.1,32.4,184,1014.2
2022-11-17 15:35:47.033,26.2,32.3,184,1014.1
2022-11-17 15:35:41.989,26.2,32.1,180,1014.1
2022-11-17 15:35:36.946,26.2,32.1,179,1014.2
2022-11-17 15:35:31.902,26.1,32.0,180,1014.1
2022-11-17 15:35:26.859,26.2,31.9,180,1014.1
2022-11-17 15:35:21.816,26.2,31.7,175,1014.1
2022-11-17 15:35:16.773,26.2,31.8,177,1014.1
2022-11-17 15:35:11.729,26.2,31.8,180,1014.1
2022-11-17 15:35:06.686,26.2,31.9,180,1014.1
2022-11-17 15:35:01.643,26.2,32.0,174,1014.1
2022-11-17 15:34:56.599,26.1,31.9,174,1014.1
2022-11-17 15:34:51.556,26.1,31.8,178,1014.1
2022-11-17 15:30:29.426,26.2,31.7,187,1014.0
2022-11-17 15:30:24.383,26.2,31.7,192,1014.1
2022-11-17 15:30:19.339,26.1,31.6,193,1014.1
2022-11-17 15:30:14.296,26.2,31.7,193,1014.1
2022-11-17 15:30:09.252,26.2,31.6,188,1014.1
2022-11-17 15:30:04.209,26.2,31.7,192,1014.1
2022-11-17 15:29:59.166,26.2,31.7,193,1014.1
2022-11-17 15:29:54.122,26.2,31.7,192,1014.1
2022-11-17 15:29:49.078,26.1,31.7,191,1014.0
2022-11-17 15:29:44.036,26.1,31.6,187,1014.1
2022-11-17 15:29:38.993,26.1,31.7,185,1014.1
2022-11-17 15:29:33.950,26.1,31.6,185,1014.1
2022-11-17 15:29:28.907,26.1,31.8,191,1014.1
2022-11-17 15:29:23.863,26.2,31.8,189,1014.0
2022-11-17 15:29:18.820,26.2,31.8,188,1014.1
2022-11-17 15:29:13.777,26.1,31.7,187,1014.1
2022-11-17 15:29:08.734,26.2,31.6,192,1014.1
2022-11-17 15:29:03.691,26.1,31.8,191,1014.1
2022-11-17 15:28:58.647,26.2,31.8,193,1014.1
2022-11-17 15:28:53.603,26.2,31.9,186,1014.1
2022-11-17 15:28:48.560,26.2,31.8,189,1014.1
2022-11-17 15:28:43.516,26.1,31.9,192,1014.1
2022-11-17 15:28:38.472,26.2,32.0,185,1014.1
2022-11-17 15:28:33.429,26.2,32.0,183,1014.1
2022-11-17 15:28:28.386,26.2,32.1,192,1014.1
2022-11-17 15:28:23.342,26.1,32.1,190,1014.1
2022-11-17 15:28:18.298,26.1,32.0,192,1014.1
2022-11-17 15:28:13.256,26.1,32.0,192,1014.1
2022-11-17 15:28:08.212,26.1,31.9,193,1014.1
2022-11-17 15:28:03.168,26.1,32.1,192,1014.1
2022-11-17 15:27:58.123,26.1,32.0,193,1014.1
2022-11-17 15:27:53.080,26.1,32.1,188,1014.1
2022-11-17 15:27:48.036,26.1,32.1,187,1014.1
2022-11-17 15:27:42.993,26.1,32.3,192,1014.1
2022-11-17 15:27:37.950,26.1,32.2,193,1014.1
2022-11-17 15:27:32.906,26.1,32.1,196,1014.1
2022-11-17 15:27:27.862,26.2,32.0,194,1014.1
2022-11-17 15:27:22.819,26.1,32.0,195,1014.1
2022-11-17 15:27:17.775,26.1,32.0,196,1014.1
2022-11-17 15:27:12.732,26.1,31.9,195,1014.1
2022-11-17 15:27:07.688,26.1,32.1,196,1014.1
2022-11-17 15:27:02.645,26.1,32.1,196,1014.1
2022-11-17 15:26:57.601,26.1,32.0,193,1014.1
2022-11-17 15:26:52.557,26.1,31.9,195,1014.1
2022-11-17 15:26:47.514,26.1,31.9,194,1014.1
2022-11-17 15:26:42.471,26.1,31.8,187,1014.0
2022-11-17 15:26:37.428,26.1,31.8,189,1014.1
2022-11-17 15:26:32.383,26.0,31.9,187,1014.1
2022-11-17 15:26:27.339,26.1,31.9,191,1014.0
2022-11-17 15:26:22.296,26.1,31.9,187,1014.1
2022-11-17 15:26:17.252,26.1,32.1,194,1014.1
2022-11-17 15:26:12.208,26.1,32.2,193,1014.1
2022-11-17 15:26:07.165,26.1,32.5,189,1014.0
2022-11-17 15:26:02.122,26.0,32.7,191,1014.1
2022-11-17 15:25:57.077,26.1,33.1,195,1014.1
2022-11-17 15:25:52.034,26.1,33.0,196,1014.1
2022-11-17 15:25:46.991,26.1,32.9,194,1014.1
2022-11-17 15:25:41.948,26.0,32.5,190,1014.1
2022-11-17 15:25:36.905,26.1,32.3,197,1014.1
2022-11-17 15:25:31.862,26.1,32.1,197,1014.1
2022-11-17 15:25:26.817,26.1,32.1,197,1014.0
2022-11-17 15:25:21.774,26.0,32.1,197,1014.0
2022-11-17 15:25:16.730,26.0,32.1,196,1014.1
2022-11-17 15:25:11.686,26.1,32.1,198,1014.1
2022-11-17 15:25:06.643,26.0,32.1,198,1014.1
2022-11-17 15:25:01.600,26.1,32.1,197,1014.1
2022-11-17 15:24:56.556,26.0,32.1,195,1014.1
2022-11-17 15:24:51.512,26.0,32.1,193,1014.0
2022-11-17 15:24:46.469,26.0,32.2,191,1014.1
2022-11-17 15:24:41.425,26.0,32.1,193,1014.1
2022-11-17 15:24:36.381,26.0,32.1,193,1014.1
2022-11-17 15:24:31.337,26.0,32.0,193,1014.1
2022-11-17 15:24:26.293,26.0,32.0,193,1014.1
2022-11-17 15:24:21.249,26.0,32.1,196,1014.0
2022-11-17 15:24:16.206,26.0,32.1,191,1014.1
2022-11-17 15:24:11.162,26.0,32.1,191,1014.0
2022-11-17 15:24:06.118,26.1,32.0,197,1014.1
2022-11-17 15:24:01.075,26.0,32.0,197,1014.1
2022-11-17 15:23:56.031,26.1,32.0,196,1014.1
2022-11-17 15:23:50.988,26.0,32.0,191,1014.0
2022-11-17 15:23:45.944,26.0,32.1,193,1014.1
2022-11-17 15:23:40.902,26.0,32.2,193,1014.1
2022-11-17 15:23:35.858,26.0,32.2,194,1014.0
2022-11-17 15:23:30.815,26.0,32.2,197,1014.0
2022-11-17 15:23:25.772,26.0,32.2,197,1014.1
2022-11-17 15:23:20.729,26.0,32.1,191,1014.0
2022-11-17 15:23:15.685,26.0,32.0,198,1014.1
2022-11-17 15:23:10.641,26.0,32.0,199,1014.0
2022-11-17 15:23:05.598,25.9,32.1,199,1014.1
2022-11-17 15:23:00.555,26.0,32.2,196,1014.1
2022-11-17 15:22:55.511,26.0,32.2,195,1014.1
2022-11-17 15:22:50.467,25.9,32.2,197,1014.1
2022-11-17 15:22:45.423,26.0,32.1,199,1014.1
2022-11-17 15:22:40.380,26.0,32.3,195,1014.1
2022-11-17 15:22:35.336,26.0,32.4,192,1014.0
2022-11-17 15:22:30.292,25.9,32.5,191,1014.0
2022-11-17 15:22:25.248,26.0,32.5,195,1014.0
2022-11-17 15:22:20.205,25.9,32.5,199,1014.1
2022-11-17 15:22:15.162,25.9,32.4,198,1014.0
2022-11-17 15:22:10.118,25.9,32.5,199,1014.1
2022-11-17 15:22:05.074,25.9,32.5,199,1014.0
2022-11-17 15:22:00.030,25.9,32.7,197,1014.0
2022-11-17 15:21:54.987,25.9,32.6,194,1014.0
2022-11-17 15:21:49.944,25.9,32.5,199,1014.0
2022-11-17 15:21:44.900,25.9,32.6,200,1014.1
2022-11-17 15:21:39.857,25.9,32.6,194,1014.1
2022-11-17 15:21:34.814,25.9,32.6,195,1014.0
2022-11-17 15:21:29.771,25.9,32.5,194,1014.0
2022-11-17 15:21:24.726,26.0,32.3,199,1014.1
2022-11-17 15:21:19.682,25.9,32.4,199,1014.0
2022-11-17 15:21:14.638,25.9,32.5,200,1014.0
2022-11-17 15:21:09.595,26.0,32.6,200,1014.0
2022-11-17 15:21:04.550,26.0,32.6,198,1014.0
2022-11-17 15:20:59.507,26.0,32.6,200,1014.0
2022-11-17 15:20:54.463,26.0,32.5,199,1014.0
2022-11-17 15:20:49.420,26.0,32.4,199,1014.0
2022-11-17 15:20:44.377,26.0,32.5,194,1014.0
2022-11-17 15:20:39.333,25.9,32.2,194,1014.0
2022-11-17 15:20:34.289,26.0,32.2,191,1014.0
2022-11-17 15:20:29.245,26.0,31.9,191,1014.0
2022-11-17 15:20:24.201,26.0,31.9,194,1014.0
2022-11-17 15:20:19.157,26.0,32.0,196,1014.0
2022-11-17 15:20:14.112,26.0,32.0,192,1014.0
2022-11-17 15:20:09.068,26.0,32.1,197,1014.0
2022-11-17 15:20:04.024,26.0,32.2,190,1014.0
