date,temperature,humidity,luminosity
2022-11-10 16:27:43.194,22.5,35.8,135
2022-11-10 16:27:41.916,22.5,35.8,135
2022-11-10 16:27:40.912,22.5,35.8,134
2022-11-10 16:27:39.637,22.5,35.8,134
2022-11-10 16:27:38.634,22.5,35.8,134
2022-11-10 16:27:37.355,22.5,35.9,135
2022-11-10 16:27:36.356,22.5,35.9,136
2022-11-10 16:27:35.079,22.5,35.9,134
2022-11-10 16:27:34.079,22.5,35.9,134
2022-11-10 16:27:32.801,22.5,35.9,135
2022-11-10 16:27:31.797,22.5,35.9,135
2022-11-10 16:27:30.524,22.6,36.1,134
2022-11-10 16:27:29.520,22.6,36.1,135
2022-11-10 16:27:28.242,22.6,36.2,135
2022-11-10 16:27:27.242,22.6,36.2,134
2022-11-10 16:27:25.963,22.6,36.2,134
2022-11-10 16:27:24.961,22.6,36.2,135
2022-11-10 16:27:23.686,22.6,36.3,136
2022-11-10 16:27:22.683,22.6,36.3,135
2022-11-10 16:27:21.409,22.6,36.3,134
2022-11-10 16:27:20.405,22.6,36.3,135
2022-11-10 16:27:19.126,22.6,36.4,135
2022-11-10 16:27:18.128,22.6,36.4,135
2022-11-10 16:27:16.850,22.6,36.5,135
2022-11-10 16:27:15.846,22.6,36.5,135
2022-11-10 16:27:14.572,22.6,36.5,135
2022-11-10 16:27:13.568,22.6,36.5,134
2022-11-10 16:27:12.290,22.6,36.5,135
2022-11-10 16:27:11.291,22.6,36.5,136
2022-11-10 16:27:10.012,22.6,36.6,135
2022-11-10 16:27:09.013,22.6,36.6,134
2022-11-10 16:27:07.735,22.6,36.6,135
2022-11-10 16:27:06.731,22.6,36.6,136
2022-11-10 16:27:05.457,22.6,36.7,135
2022-11-10 16:27:04.453,22.6,36.7,134
2022-11-10 16:27:03.176,22.6,36.8,134
2022-11-10 16:27:02.176,22.6,36.8,135
2022-11-10 16:27:00.898,22.6,36.9,135
2022-11-10 16:26:59.895,22.6,36.9,135
2022-11-10 16:26:58.620,22.6,37.0,135
2022-11-10 16:26:57.617,22.6,37.0,135
2022-11-10 16:26:56.338,22.6,37.1,135
2022-11-10 16:26:55.340,22.6,37.1,135
2022-11-10 16:26:54.060,22.7,37.3,136
2022-11-10 16:26:53.061,22.7,37.3,135
2022-11-10 16:26:51.784,22.7,37.3,135
2022-11-10 16:26:50.780,22.7,37.3,135
2022-11-10 16:26:49.505,22.7,37.4,136
2022-11-10 16:26:48.502,22.7,37.4,135
2022-11-10 16:26:47.224,22.7,37.5,135
2022-11-10 16:26:46.225,22.7,37.5,135
2022-11-10 16:26:44.947,22.7,37.7,135
2022-11-10 16:26:43.944,22.7,37.7,135
2022-11-10 16:26:42.669,22.7,37.9,124
2022-11-10 16:26:41.666,22.7,37.9,107
2022-11-10 16:26:40.388,22.7,38.1,128
2022-11-10 16:26:39.388,22.7,38.1,122
2022-11-10 16:26:38.109,22.7,38.3,122
2022-11-10 16:26:37.107,22.7,38.3,136
2022-11-10 16:26:35.833,22.8,38.7,135
2022-11-10 16:26:34.828,22.8,38.7,135
2022-11-10 16:26:33.550,22.8,39.0,136
2022-11-10 16:26:32.551,22.8,39.0,136
2022-11-10 16:26:31.274,22.8,39.3,134
2022-11-10 16:26:30.269,22.8,39.3,135
2022-11-10 16:26:28.995,22.8,39.7,136
2022-11-10 16:26:27.991,22.8,39.7,135
2022-11-10 16:26:26.717,22.8,40.1,136
2022-11-10 16:26:25.714,22.8,40.1,135
2022-11-10 16:26:24.436,22.8,40.6,135
2022-11-10 16:26:23.437,22.8,40.6,135
2022-11-10 16:26:22.159,22.8,41.1,136
2022-11-10 16:26:21.154,22.8,41.1,136
2022-11-10 16:26:19.880,22.8,41.5,136
2022-11-10 16:26:18.877,22.8,41.5,135
2022-11-10 16:26:17.599,22.8,42.1,136
2022-11-10 16:26:16.599,22.8,42.1,136
2022-11-10 16:26:15.322,22.8,42.8,136
2022-11-10 16:26:14.323,22.8,42.8,135
2022-11-10 16:26:13.045,22.8,43.6,126
2022-11-10 16:26:12.041,22.8,43.6,136
2022-11-10 16:26:10.766,22.9,44.5,136
2022-11-10 16:26:09.764,22.9,44.5,136
2022-11-10 16:26:08.485,22.8,45.3,136
2022-11-10 16:26:07.485,22.8,45.3,136
2022-11-10 16:26:06.208,22.8,46.3,136
2022-11-10 16:26:05.204,22.8,46.3,136
2022-11-10 16:26:03.931,22.8,47.4,136
2022-11-10 16:26:02.926,22.8,47.4,136
2022-11-10 16:26:01.648,22.8,48.5,136
2022-11-10 16:26:00.649,22.8,48.5,136
2022-11-10 16:25:59.370,22.8,50.0,136
2022-11-10 16:25:58.367,22.8,50.0,136
2022-11-10 16:25:57.093,22.8,51.4,137
2022-11-10 16:25:56.089,22.8,51.4,138
2022-11-10 16:25:54.815,22.7,53.0,138
2022-11-10 16:25:53.811,22.7,53.0,137
2022-11-10 16:25:52.534,22.7,54.7,137
2022-11-10 16:25:51.534,22.7,54.7,138
2022-11-10 16:25:50.256,22.7,54.8,138
2022-11-10 16:25:49.253,22.7,54.8,109
2022-11-10 16:25:47.979,22.6,51.7,43
2022-11-10 16:25:46.975,22.6,51.7,33
2022-11-10 16:25:45.698,22.6,51.4,21
2022-11-10 16:25:44.697,22.6,51.4,33
2022-11-10 16:25:43.420,22.6,49.8,38
2022-11-10 16:25:42.416,22.6,49.8,40
2022-11-10 16:25:41.142,22.5,45.8,50
2022-11-10 16:25:40.138,22.5,45.8,55
2022-11-10 16:25:38.861,22.5,44.8,55
2022-11-10 16:25:37.861,22.5,44.8,56
2022-11-10 16:25:36.583,22.5,45.3,59
2022-11-10 16:25:35.584,22.5,45.3,66
2022-11-10 16:25:34.305,22.4,46.0,117
2022-11-10 16:25:33.305,22.4,46.0,127
2022-11-10 16:25:32.027,22.4,45.7,130
2022-11-10 16:25:31.023,22.4,45.7,111
2022-11-10 16:25:29.746,22.4,45.3,34
2022-11-10 16:25:28.747,22.4,45.3,34
2022-11-10 16:25:27.468,22.3,44.4,22
2022-11-10 16:25:26.465,22.3,44.4,0
2022-11-10 16:25:25.191,22.3,43.0,0
2022-11-10 16:25:24.188,22.3,43.0,0
2022-11-10 16:25:22.909,22.2,41.7,0
2022-11-10 16:25:21.910,22.2,41.7,0
2022-11-10 16:25:20.632,22.2,40.8,0
2022-11-10 16:25:19.631,22.2,40.8,0
2022-11-10 16:25:18.355,22.2,39.9,0
2022-11-10 16:25:17.355,22.2,39.9,55
2022-11-10 16:25:16.077,22.2,39.3,0
2022-11-10 16:25:15.073,22.2,39.3,0
2022-11-10 16:25:13.799,22.1,39.3,0
2022-11-10 16:25:12.796,22.1,39.3,0
2022-11-10 16:25:11.517,22.1,39.1,0
2022-11-10 16:25:10.518,22.1,39.1,0
2022-11-10 16:25:09.240,22.1,37.8,0
2022-11-10 16:25:08.241,22.1,37.8,0
2022-11-10 16:25:06.962,22.1,37.2,0
2022-11-10 16:25:05.959,22.1,37.2,0
2022-11-10 16:25:04.685,22.1,36.4,4
2022-11-10 16:25:03.681,22.1,36.4,5
2022-11-10 16:25:02.402,22.1,36.2,8
2022-11-10 16:25:01.404,22.1,36.2,7
2022-11-10 16:25:00.125,22.0,36.1,9
2022-11-10 16:24:59.126,22.0,36.1,9
2022-11-10 16:24:57.848,22.1,36.1,12
2022-11-10 16:24:56.848,22.1,36.1,12
2022-11-10 16:24:55.569,22.1,36.1,12
2022-11-10 16:24:54.567,22.1,36.1,12
2022-11-10 16:24:53.293,22.1,36.1,12
2022-11-10 16:24:52.289,22.1,36.1,12
2022-11-10 16:24:51.010,22.1,36.1,12
2022-11-10 16:24:50.011,22.1,36.1,12
2022-11-10 16:24:48.733,22.1,36.0,12
2022-11-10 16:24:47.730,22.1,36.0,12
2022-11-10 16:24:46.455,22.1,36.0,12
2022-11-10 16:24:45.452,22.1,36.0,12
2022-11-10 16:24:44.178,22.1,36.0,12
2022-11-10 16:24:43.174,22.1,36.0,12
2022-11-10 16:24:41.897,22.1,36.0,12
2022-11-10 16:24:40.897,22.1,36.0,12
2022-11-10 16:24:39.618,22.1,36.0,12
2022-11-10 16:24:38.615,22.1,36.0,12
2022-11-10 16:24:37.341,22.1,36.0,12
2022-11-10 16:24:36.338,22.1,36.0,12
2022-11-10 16:24:35.064,22.1,36.0,12
2022-11-10 16:24:34.060,22.1,36.0,12
2022-11-10 16:24:32.782,22.2,36.0,12
2022-11-10 16:24:31.783,22.2,36.0,12
2022-11-10 16:24:30.504,22.1,36.0,12
2022-11-10 16:24:29.501,22.1,36.0,12
2022-11-10 16:24:28.227,22.2,36.1,12
2022-11-10 16:24:27.222,22.2,36.1,12
2022-11-10 16:24:25.945,22.2,36.1,12
2022-11-10 16:24:24.945,22.2,36.1,12
2022-11-10 16:24:23.668,22.2,36.1,12
2022-11-10 16:24:22.668,22.2,36.1,12
2022-11-10 16:24:21.390,22.2,36.1,12
2022-11-10 16:24:20.386,22.2,36.1,12
2022-11-10 16:24:19.112,22.2,36.1,12
2022-11-10 16:24:18.108,22.2,36.1,12
2022-11-10 16:24:16.830,22.2,36.1,12
2022-11-10 16:24:15.832,22.2,36.1,12
2022-11-10 16:24:14.554,22.2,36.1,12
2022-11-10 16:24:13.554,22.2,36.1,12
2022-11-10 16:24:12.275,22.2,36.1,12
2022-11-10 16:24:11.273,22.2,36.1,12
2022-11-10 16:24:09.998,22.2,36.1,12
2022-11-10 16:24:08.995,22.2,36.1,12
2022-11-10 16:24:07.716,22.2,36.1,12
2022-11-10 16:24:06.717,22.2,36.1,12
2022-11-10 16:24:05.439,22.2,36.1,12
2022-11-10 16:24:04.439,22.2,36.1,12
2022-11-10 16:24:03.162,22.2,36.1,12
2022-11-10 16:24:02.157,22.2,36.1,12
2022-11-10 16:24:00.883,22.2,36.1,12
2022-11-10 16:23:59.880,22.2,36.1,12
2022-11-10 16:23:58.602,22.2,36.1,12
2022-11-10 16:23:57.602,22.2,36.1,12
2022-11-10 16:23:56.325,22.2,36.1,12
2022-11-10 16:23:55.321,22.2,36.1,12
2022-11-10 16:23:54.047,22.2,36.2,11
2022-11-10 16:23:53.044,22.2,36.2,12
2022-11-10 16:23:51.770,22.2,36.2,12
2022-11-10 16:23:50.765,22.2,36.2,12
2022-11-10 16:23:49.488,22.2,36.2,12
2022-11-10 16:23:48.488,22.2,36.2,12
2022-11-10 16:23:47.211,22.2,36.3,12
2022-11-10 16:23:46.206,22.2,36.3,12
2022-11-10 16:23:44.933,22.2,36.3,12
2022-11-10 16:23:43.929,22.2,36.3,12
2022-11-10 16:23:42.651,22.2,36.3,12
2022-11-10 16:23:41.650,22.2,36.3,12
2022-11-10 16:23:40.373,22.2,36.3,12
2022-11-10 16:23:39.373,22.2,36.3,12
2022-11-10 16:23:38.096,22.2,36.4,12
2022-11-10 16:23:37.092,22.2,36.4,12
2022-11-10 16:23:35.818,22.2,36.4,12
2022-11-10 16:23:34.814,22.2,36.4,12
2022-11-10 16:23:33.536,22.2,36.5,12
2022-11-10 16:23:32.537,22.2,36.5,12
2022-11-10 16:23:31.258,22.2,36.5,12
2022-11-10 16:23:30.255,22.2,36.5,12
2022-11-10 16:23:28.981,22.2,36.5,12
2022-11-10 16:23:27.978,22.2,36.5,12
2022-11-10 16:23:26.699,22.2,36.4,12
2022-11-10 16:23:25.700,22.2,36.4,12
2022-11-10 16:23:24.422,22.2,36.4,12
2022-11-10 16:23:23.422,22.2,36.4,12
2022-11-10 16:23:22.144,22.2,36.5,12
2022-11-10 16:23:21.140,22.2,36.5,12
2022-11-10 16:23:19.867,22.2,36.3,12
2022-11-10 16:23:18.864,22.2,36.3,12
2022-11-10 16:23:17.586,22.2,36.3,12
2022-11-10 16:23:16.586,22.2,36.3,12
2022-11-10 16:23:15.308,22.2,36.3,12
2022-11-10 16:23:14.304,22.2,36.3,12
2022-11-10 16:23:13.029,22.2,36.3,12
2022-11-10 16:23:12.027,22.2,36.3,12
2022-11-10 16:23:10.748,22.2,36.3,12
2022-11-10 16:23:09.749,22.2,36.3,12
2022-11-10 16:23:08.470,22.2,36.4,12
2022-11-10 16:23:07.471,22.2,36.4,12
2022-11-10 16:23:06.193,22.3,36.5,12
2022-11-10 16:23:05.189,22.3,36.5,12
2022-11-10 16:23:03.915,22.3,36.5,12
2022-11-10 16:23:02.912,22.3,36.5,12
2022-11-10 16:23:01.634,22.3,36.4,12
2022-11-10 16:23:00.635,22.3,36.4,12
2022-11-10 16:22:59.356,22.3,36.4,12
2022-11-10 16:22:58.353,22.3,36.4,12
2022-11-10 16:22:57.078,22.3,36.4,12
2022-11-10 16:22:56.074,22.3,36.4,12
2022-11-10 16:22:54.797,22.3,36.4,12
2022-11-10 16:22:53.797,22.3,36.4,12
2022-11-10 16:22:52.519,22.3,36.4,12
2022-11-10 16:22:51.516,22.3,36.4,12
2022-11-10 16:22:50.241,22.3,36.4,12
2022-11-10 16:22:49.237,22.3,36.4,12
2022-11-10 16:22:47.965,22.3,36.4,12
2022-11-10 16:22:46.961,22.3,36.4,12
2022-11-10 16:22:45.682,22.3,36.4,12
2022-11-10 16:22:44.683,22.3,36.4,12
2022-11-10 16:22:43.404,22.3,36.4,12
2022-11-10 16:22:42.402,22.3,36.4,12
2022-11-10 16:22:41.128,22.3,36.3,12
2022-11-10 16:22:40.124,22.3,36.3,12
2022-11-10 16:22:38.845,22.3,36.3,12
2022-11-10 16:22:37.846,22.3,36.3,12
2022-11-10 16:22:36.567,22.2,36.2,12
2022-11-10 16:22:35.565,22.2,36.2,12
2022-11-10 16:22:34.291,22.3,36.3,12
2022-11-10 16:22:33.287,22.3,36.3,12
2022-11-10 16:22:32.008,22.3,36.4,12
2022-11-10 16:22:31.009,22.3,36.4,12
